1.00, 0.00, -0.00, 0.08, 0.02, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, 0.02, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, -0.00, 0.03, 9.76
1.00, 0.00, -0.00, 0.08, -0.01, 0.03, 9.81
1.00, 0.00, -0.00, 0.08, 0.01, 0.03, 9.80
1.00, 0.00, -0.00, 0.08, 0.03, -0.02, 9.74
1.00, 0.00, -0.00, 0.08, 0.04, 0.00, 9.81
1.00, 0.00, -0.00, 0.08, -0.01, 0.02, 9.74
1.00, 0.00, -0.00, 0.08, -0.02, 0.03, 9.76
1.00, 0.00, -0.00, 0.08, -0.04, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, -0.04, -0.01, 9.80
1.00, 0.00, -0.00, 0.08, -0.00, 0.01, 9.74
1.00, 0.00, -0.00, 0.08, 0.02, -0.01, 9.76
1.00, 0.00, -0.00, 0.08, -0.02, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, 0.02, -0.01, 9.74
1.00, 0.00, -0.00, 0.08, -0.01, 0.00, 9.76
1.00, 0.00, -0.00, 0.08, 0.00, 0.02, 9.81
1.00, 0.00, -0.00, 0.08, -0.02, 0.02, 9.81
1.00, 0.00, -0.00, 0.08, -0.06, 0.02, 9.81
1.00, 0.00, -0.00, 0.08, 0.05, 0.02, 9.77
1.00, 0.00, -0.00, 0.08, 0.00, -0.01, 9.77
1.00, 0.00, -0.00, 0.08, -0.02, 0.00, 9.72
1.00, 0.00, -0.00, 0.08, 0.02, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, -0.01, -0.00, 9.81
1.00, 0.00, -0.00, 0.08, 0.00, 0.00, 9.80
1.00, 0.00, -0.00, 0.08, 0.01, -0.04, 9.75
1.00, 0.00, -0.00, 0.08, 0.04, 0.03, 9.74
1.00, 0.00, -0.00, 0.08, 0.05, -0.01, 9.81
1.00, 0.00, -0.00, 0.08, -0.07, -0.01, 9.80
1.00, 0.00, -0.00, 0.08, 0.01, 0.01, 9.79
1.00, 0.00, -0.00, 0.08, 0.01, 0.01, 9.78
1.00, 0.00, -0.00, 0.08, -0.01, 0.00, 9.81
1.00, 0.00, -0.00, 0.08, -0.00, 0.06, 9.81
1.00, 0.00, -0.00, 0.08, 0.01, 0.01, 9.81
1.00, 0.00, -0.00, 0.08, -0.01, 0.07, 9.81
1.00, 0.00, -0.00, 0.08, -0.01, 0.04, 9.81
1.00, 0.00, -0.00, 0.08, -0.01, 0.04, 9.74
1.00, 0.00, -0.00, 0.08, 0.02, -0.04, 9.77
1.00, 0.00, -0.00, 0.08, -0.01, -0.06, 9.81
1.00, 0.00, -0.00, 0.08, 0.07, -0.05, 9.81
1.00, 0.00, -0.00, 0.08, 0.02, 0.01, 9.74
1.00, 0.00, -0.00, 0.08, 0.05, 0.04, 9.81
1.00, 0.00, -0.00, 0.08, -0.00, 0.01, 9.75
1.00, 0.00, -0.00, 0.08, -0.07, -0.03, 9.80
1.00, 0.00, -0.00, 0.08, -0.06, 0.02, 9.81
1.00, 0.00, -0.00, 0.08, -0.04, 0.00, 9.76
1.00, 0.00, -0.00, 0.08, -0.03, -0.02, 9.81
1.00, 0.00, -0.00, 0.08, 0.02, -0.01, 9.79
1.00, 0.00, -0.00, 0.08, 0.04, 0.05, 9.76
1.00, 0.00, -0.00, 0.08, 0.03, 0.06, 9.81
1.00, 0.00, -0.00, 0.08, 0.01, 0.07, 9.77
1.00, 0.00, -0.00, 0.08, -0.00, 0.03, 9.76
1.00, 0.00, -0.00, 0.08, -0.01, -0.01, 9.81
1.00, 0.00, -0.00, 0.08, 0.03, -0.02, 9.72
0.99, -0.03, -0.11, -0.01, 0.36, -0.71, 10.04
0.99, -0.04, -0.12, -0.01, 0.84, -1.19, 10.12
0.99, -0.06, -0.15, -0.02, -1.07, 2.26, 10.31
0.98, -0.08, -0.15, -0.03, -0.01, 6.12, 7.33
0.98, -0.12, -0.15, -0.03, -0.83, 0.08, 2.05
0.98, -0.14, -0.14, -0.03, -1.10, -0.57, 1.92
0.98, -0.14, -0.13, -0.03, -0.62, -0.24, 6.40
0.98, -0.13, -0.13, -0.03, -0.72, 1.98, 8.92
0.98, -0.12, -0.13, -0.03, -0.02, 1.28, 5.05
0.99, -0.11, -0.11, -0.02, 0.85, 2.80, 2.43
0.99, -0.09, -0.08, -0.01, -1.29, 1.97, 1.86
1.00, -0.07, -0.06, 0.01, -0.35, -0.77, 5.97
1.00, -0.01, -0.06, 0.02, 0.71, -0.12, 9.87
1.00, 0.03, -0.07, 0.03, 2.69, 2.17, 9.92
1.00, 0.05, -0.08, 0.03, -0.77, -0.62, 9.15
0.99, 0.07, -0.07, 0.03, -1.31, -0.75, 6.35
0.99, 0.10, -0.06, 0.02, 1.18, -0.23, 10.08
0.99, 0.10, -0.04, 0.02, -9.10, -7.92, 10.03
0.99, 0.09, -0.05, 0.01, 0.05, 1.21, 8.81
0.99, 0.09, -0.06, 0.01, -0.14, -1.33, 10.04
0.99, 0.09, -0.05, 0.01, 0.25, -0.19, 10.02
1.00, 0.07, -0.04, 0.02, 0.54, 0.53, 9.95
1.00, 0.04, -0.03, 0.02, -1.25, 1.32, 9.85
1.00, 0.01, -0.02, 0.02, -0.84, 1.55, 6.14
1.00, -0.02, -0.02, 0.01, 0.78, -0.20, 8.00
1.00, -0.03, -0.02, 0.00, 1.65, -0.94, 9.83
1.00, -0.06, -0.03, -0.01, -1.09, -0.03, 9.89
1.00, -0.09, -0.03, -0.02, 0.43, 5.79, 7.14
0.99, -0.13, -0.01, -0.02, 1.92, 1.49, 3.84
0.99, -0.15, 0.00, -0.03, 2.34, 0.00, 1.73
0.99, -0.15, 0.02, -0.03, 1.68, 0.28, 2.83
0.99, -0.15, 0.01, -0.03, 1.57, 0.64, 1.26
0.99, -0.13, 0.01, -0.02, 1.04, 2.49, -1.54
0.99, -0.11, 0.02, -0.01, 1.13, 3.80, -2.00
1.00, -0.04, 0.02, 0.00, 1.87, 0.38, 8.04
1.00, 0.01, 0.01, 0.01, 4.48, 0.78, 9.81
1.00, 0.05, -0.02, 0.02, -1.53, -0.68, 9.87
1.00, 0.05, -0.04, 0.02, -1.67, -0.35, 9.89
1.00, 0.05, -0.03, 0.02, -1.56, -0.99, 7.47
1.00, 0.07, -0.02, 0.01, 0.84, -0.76, 9.90
1.00, 0.08, -0.02, 0.01, 3.59, -0.21, 9.95
1.00, 0.08, -0.02, 0.01, 1.70, 1.66, 9.93
1.00, 0.04, -0.02, 0.02, -1.64, 1.84, 9.84
1.00, 0.01, 0.00, 0.02, -1.89, 0.84, 7.35
1.00, -0.02, 0.03, 0.02, 0.17, -0.51, 9.83
1.00, -0.04, 0.04, 0.01, 0.32, -0.95, 9.86
1.00, -0.08, 0.03, -0.01, -2.51, 1.21, 9.94
0.99, -0.11, 0.03, -0.02, -2.00, 6.77, 5.47
0.99, -0.15, 0.04, -0.04, 2.39, 1.69, 0.24
0.98, -0.17, 0.05, -0.05, 3.60, 0.39, 0.02
0.98, -0.18, 0.06, -0.05, 3.15, 0.10, 0.60
0.98, -0.17, 0.06, -0.05, 3.02, 0.79, -2.15
0.99, -0.14, 0.06, -0.05, 3.63, 3.97, -4.90
0.99, -0.10, 0.05, -0.04, 3.98, 3.90, -0.86
1.00, -0.01, 0.03, -0.02, 3.56, 1.99, 9.82
1.00, 0.04, -0.00, -0.00, 1.10, -0.49, 9.85
1.00, 0.06, -0.03, 0.02, -4.58, -0.19, 9.89
1.00, 0.05, -0.04, 0.02, -3.80, -0.61, 5.02
1.00, 0.07, -0.02, 0.02, 0.08, -0.67, 9.92
1.00, 0.09, -0.02, 0.02, 2.13, -1.43, 9.99
1.00, 0.09, -0.02, 0.02, 3.27, 1.08, 3.09
0.99, 0.09, -0.04, 0.01, 0.16, 1.52, 7.71
0.99, 0.09, -0.06, 0.01, -1.25, -0.54, 9.96
0.99, 0.09, -0.07, 0.02, -1.01, 0.39, 10.08
0.99, 0.09, -0.08, 0.03, 0.80, -0.09, 9.73
0.99, 0.08, -0.09, 0.03, 0.66, -0.79, 9.54
0.99, 0.06, -0.11, 0.04, -0.17, -0.24, 7.72
0.99, 0.06, -0.13, 0.04, -0.94, -0.85, 9.66
0.99, 0.06, -0.14, 0.04, -0.10, -0.40, 10.29
0.99, 0.06, -0.15, 0.04, 0.34, -0.54, 10.30
0.99, 0.04, -0.14, 0.04, -0.35, -0.01, 10.22
0.99, 0.02, -0.13, 0.04, -0.04, -0.27, 8.30
0.99, 0.01, -0.12, 0.04, 0.55, -0.33, 8.10
0.99, 0.00, -0.11, 0.04, 0.43, -0.85, 10.03
0.99, -0.01, -0.10, 0.04, -0.03, -0.40, 10.01
0.99, -0.02, -0.10, 0.03, 0.09, 0.65, 9.07
0.99, -0.03, -0.09, 0.04, -0.26, 0.29, 7.34
1.00, -0.04, -0.08, 0.03, -0.38, 0.50, 7.17
1.00, -0.05, -0.06, 0.03, -0.33, 0.12, 8.63
1.00, -0.06, -0.06, 0.03, -1.08, -0.69, 7.09
1.00, -0.05, -0.07, 0.03, -4.84, -1.27, 8.71
0.99, -0.03, -0.10, 0.02, 0.81, 1.45, 9.48
0.99, -0.02, -0.10, 0.01, 1.60, 4.16, 10.01
1.00, -0.02, -0.09, -0.00, 1.21, -1.09, 9.96
1.00, -0.02, -0.08, -0.00, 0.41, -0.81, 7.91
1.00, -0.02, -0.07, -0.01, -0.36, 0.12, 7.93
1.00, -0.02, -0.06, -0.01, -0.87, -0.76, 9.90
1.00, -0.01, -0.06, -0.01, 1.76, 0.38, 9.89
1.00, -0.01, -0.06, -0.01, 1.74, 0.33, 9.88
1.00, -0.02, -0.05, -0.01, 1.00, 0.39, 9.87
1.00, -0.03, -0.05, -0.01, 0.84, 0.20, 8.54
1.00, -0.04, -0.03, -0.01, 0.48, -0.24, 8.18
1.00, -0.04, -0.03, -0.01, 1.28, -0.07, 8.27
1.00, -0.03, -0.03, -0.01, 0.50, 0.00, 9.84
1.00, -0.03, -0.03, -0.01, 1.12, 0.09, 9.85
1.00, -0.03, -0.04, -0.02, 1.67, 0.16, 9.36
1.00, -0.03, -0.04, -0.02, 1.60, 0.17, 8.37
1.00, -0.03, -0.03, -0.01, 1.15, 0.02, 7.50
1.00, -0.03, -0.03, -0.01, 1.42, -0.06, 6.84
1.00, -0.03, -0.03, -0.01, 2.08, -0.27, 6.23
1.00, -0.03, -0.03, -0.01, 2.38, -0.62, 5.11
1.00, -0.02, -0.04, -0.01, 3.56, -1.87, 3.73
1.00, -0.01, -0.04, -0.01, 3.37, -1.20, 2.48
1.00, 0.01, -0.03, -0.02, 0.42, 1.23, 3.55
1.00, 0.04, -0.02, -0.01, -1.02, 2.10, 4.50
0.99, 0.10, -0.00, 0.00, -1.38, 1.54, 5.91
0.99, 0.14, 0.02, 0.02, -19.21, -7.57, 10.21
0.98, 0.02, 0.19, 0.03, -16.05, 0.50, 10.49
1.00, 0.01, 0.01, 0.03, -19.49, -9.49, 9.81
1.00, 0.02, 0.05, 0.04, -1.91, -0.94, 9.87
1.00, 0.01, 0.03, 0.04, -0.43, -0.07, 1.30
1.00, 0.01, 0.03, 0.04, 3.40, -0.86, 9.64
1.00, 0.01, 0.04, 0.04, 0.30, -2.28, 9.84
1.00, 0.01, 0.04, 0.04, -1.14, -0.19, 9.83
1.00, 0.01, 0.03, 0.04, 0.81, 0.12, 9.83
1.00, 0.01, 0.03, 0.04, 0.43, -0.23, 9.83
1.00, 0.01, 0.03, 0.04, 0.37, -0.05, 9.83
1.00, 0.01, 0.03, 0.04, 0.45, -0.17, 9.83
1.00, 0.01, 0.03, 0.04, 0.38, -0.14, 9.83
1.00, 0.01, 0.03, 0.04, 0.45, -0.30, 9.82
1.00, 0.01, 0.03, 0.04, 0.40, -0.20, 9.82
1.00, 0.01, 0.03, 0.04, 2.29, -3.52, 9.23
1.00, 0.01, 0.02, 0.03, 1.70, -2.65, 9.52
1.00, 0.00, 0.02, 0.00, 2.42, 1.46, 7.11
1.00, 0.01, 0.02, 0.00, 1.92, 0.23, 8.98
1.00, 0.01, 0.02, 0.01, 0.62, 0.06, 9.70
1.00, 0.01, 0.02, 0.02, 1.23, -0.05, 9.82
1.00, 0.02, 0.04, 0.04, -0.75, -0.04, 9.84
1.00, 0.02, 0.05, 0.04, -3.06, -1.00, 9.74
1.00, 0.02, 0.08, 0.05, -0.09, -1.68, 9.93
0.99, 0.03, 0.09, 0.06, -0.53, -1.34, 9.97
0.99, 0.04, 0.09, 0.07, -0.65, -0.66, 10.00
0.99, 0.04, 0.09, 0.07, -1.02, 0.85, 10.00
0.99, 0.05, 0.08, 0.06, 1.23, 1.17, 9.98
0.99, 0.04, 0.08, 0.06, 1.10, 0.76, 9.96
1.00, 0.02, 0.07, 0.05, 0.74, 0.35, 9.92
1.00, 0.01, 0.07, 0.05, -0.26, 0.15, 9.22
1.00, -0.01, 0.07, 0.05, -0.16, -0.33, 9.29
1.00, -0.02, 0.07, 0.05, -0.11, -0.70, 9.40
1.00, -0.04, 0.06, 0.04, -0.97, -1.38, 9.22
1.00, -0.05, 0.06, 0.03, 0.69, 1.62, 7.24
1.00, -0.06, 0.06, 0.02, 0.88, 0.61, 6.42
1.00, -0.06, 0.06, 0.03, 0.92, 0.98, 5.63
1.00, -0.07, 0.05, 0.03, 2.00, 0.64, 4.40
1.00, -0.06, 0.05, 0.04, 1.78, 0.72, 3.61
1.00, -0.04, 0.04, 0.05, 0.50, -0.30, 2.60
1.00, -0.02, 0.04, 0.05, 0.95, -0.00, 1.95
1.00, 0.02, 0.02, 0.06, 1.51, 0.62, -0.84
1.00, 0.04, 0.01, 0.06, 1.92, 0.20, -1.57
